id,text,source
CS_STORE_ADDRESS_001,"門市資訊｜地址｜常見問法: 店址,門市地址,地址在哪,店在哪裡,怎麼去,地點在哪｜答案: 台北市大安區和平東路三段123號",CS
CS_STORE_PHONE_001,"門市資訊｜電話｜常見問法: 電話,聯絡電話,門市電話,打電話,怎麼聯絡｜答案: 0908137159",CS
CS_STORE_HOURS_001,"門市資訊｜營業時間｜常見問法: 幾點開,幾點關,營業到幾點,今天有開嗎,營業時間｜答案: 週一至週日 10:00-21:00",CS

CS_CONTACT_EMAIL_001,"聯絡方式｜客服信箱｜常見問法: 客服信箱,email,電子郵件,寫信給你們,怎麼寄信｜答案: ozasd6565@gmail.com",CS
CS_CONTACT_ONLINE_HOURS_001,"聯絡方式｜線上客服時間｜常見問法: 線上客服,客服時間,真人客服,客服幾點到幾點,有人回嗎｜答案: 每日 09:00-18:00",CS

CS_STORAGE_FREEZE_001,"保存方式｜冷凍保存｜常見問法: 可以冷凍嗎,要冰冷凍還冷藏,冷凍怎麼保存,保存期限多久,可以放多久｜答案: 冷凍蛋糕收到後請立即冷凍保存，建議 7 天內食用完畢。",CS

CS_REFUND_DEFECT_001,"退換貨政策｜瑕疵處理｜常見問法: 有瑕疵怎麼辦,破損,變質,漏餡,退貨,退款,可以補寄嗎,收到壞掉｜答案: 商品如有瑕疵，請於 48 小時內拍照並聯繫客服，我們將安排退款或補寄。",CS

CS_CUSTOMORDER_RULE_001,"客製化訂購｜下單規則｜常見問法: 客製蛋糕怎麼訂,生日蛋糕客製,要提前多久,訂金多少,可以急單嗎｜答案: 客製化生日蛋糕需提前 3 天下單，並支付 50% 訂金方可製作。",CS

CS_DELIVERY_TIMEWINDOW_001,"配送資訊｜配送時段｜常見問法: 配送時間,到貨時段,可以選上午或下午嗎,可以指定時段嗎,幾點送｜答案: 配送可選 上午 09:00-12:00 或 下午 14:00-18:00。",CS

CS_ALLERGEN_NOTICE_001,"成分與過敏｜過敏提醒｜常見問法: 過敏原,含什麼,有沒有牛奶,有沒有蛋,有沒有堅果,乳製品,蛋類,堅果類｜答案: 本店產品含牛奶、雞蛋及堅果成分，過敏者請事先告知。",CS

CS_PAYMENT_METHOD_001,"付款方式｜可用支付｜常見問法: 怎麼付款,支付方式,可刷卡嗎,可以用LINE Pay嗎,可以轉帳嗎,匯款｜答案: 本店接受 信用卡、LINE Pay、銀行轉帳 付款。",CS

CS_FAQ_RETURN_SAMEDAY_001,"FAQ｜食品退貨規則｜常見問法: 當天能退嗎,可以退貨嗎,有七天鑑賞期嗎,食品能退嗎,不喜歡能退嗎｜答案: 食品類商品不提供七天鑑賞期；除非商品瑕疵，否則不提供退貨。",CS
CS_FAQ_DELIVERY_SPECIFY_001,"FAQ｜指定配送時間｜常見問法: 可以指定配送時間嗎,能指定到貨時段嗎,可選幾點送,送達時間能選嗎｜答案: 可以，請於結帳頁面選擇指定時段配送。",CS
